# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
77              	smoothSolver	3.53913820e-01	2.36410970e-01	1000	2.08604100e-01	4.53800980e-04	1	false	smoothSolver	1.76675050e-02	1.15882310e-03	1	true	smoothSolver	1.76662450e-02	1.15894950e-03	1	true	GAMG	4.51752800e-01	2.18321080e-03	3	true
78              	smoothSolver	3.52511440e-01	2.40850400e-01	1000	2.04548950e-01	4.52884610e-04	1	false	smoothSolver	1.71931730e-02	1.12773600e-03	1	true	smoothSolver	1.71919610e-02	1.12785950e-03	1	true	GAMG	4.38289380e-01	2.98196930e-03	4	true
79              	smoothSolver	3.56098850e-01	2.35738170e-01	1000	2.00610010e-01	4.43282390e-04	1	false	smoothSolver	1.67357210e-02	1.09774390e-03	1	true	smoothSolver	1.67345060e-02	1.09786220e-03	1	true	GAMG	3.92200710e-01	1.91309880e-03	4	true
80              	smoothSolver	3.59803450e-01	2.42312190e-01	1000	2.01668270e-01	4.40025410e-04	1	false	smoothSolver	1.62926630e-02	1.06873060e-03	1	true	smoothSolver	1.62914940e-02	1.06884630e-03	1	true	GAMG	4.63224770e-01	4.20676500e-03	3	true
81              	smoothSolver	3.55976560e-01	2.40537120e-01	1000	2.02213950e-01	4.40587380e-04	1	false	smoothSolver	1.58690800e-02	1.04093690e-03	1	true	smoothSolver	1.58679480e-02	1.04105040e-03	1	true	GAMG	4.32775550e-01	3.53227640e-03	3	true
82              	smoothSolver	3.55212660e-01	2.41270130e-01	1000	2.03925070e-01	4.45897360e-04	1	false	smoothSolver	1.54589640e-02	1.01410120e-03	1	true	smoothSolver	1.54578350e-02	1.01420970e-03	1	true	GAMG	4.08445920e-01	2.85512590e-03	4	true
83              	smoothSolver	3.54559140e-01	2.35743350e-01	1000	2.09523630e-01	4.68633220e-04	1	false	smoothSolver	1.50625080e-02	9.88085860e-04	1	true	smoothSolver	1.50614140e-02	9.88191990e-04	1	true	GAMG	4.99122250e-01	3.86518220e-03	4	true
84              	smoothSolver	3.47991900e-01	2.38240230e-01	1000	2.10194580e-01	4.73635200e-04	1	false	smoothSolver	1.46820180e-02	9.63182050e-04	1	true	smoothSolver	1.46809570e-02	9.63286160e-04	1	true	GAMG	4.20411610e-01	2.21578130e-03	3	true
85              	smoothSolver	3.53728180e-01	2.44630240e-01	1000	2.04897990e-01	4.60059130e-04	1	false	smoothSolver	1.43139200e-02	9.39034620e-04	1	true	smoothSolver	1.43128610e-02	9.39134250e-04	1	true	GAMG	4.28874160e-01	2.98175100e-03	3	true
86              	smoothSolver	3.52143130e-01	2.38784030e-01	1000	2.00540380e-01	4.41103960e-04	1	false	smoothSolver	1.39568490e-02	9.15647430e-04	1	true	smoothSolver	1.39558230e-02	9.15745190e-04	1	true	GAMG	4.22197970e-01	4.15920980e-03	3	true
